Year,Round,Season,Date,Time,HomeTeam,HomeCountry,Score,AwayTeam,AwayCountry,Win,WinCountry,Venue
2010,11,3,Sunday 30 May 18:50 (UTC+12),,Southern Steel,New Zealand,52-39,Melbourne Vixens,Australia,Southern Steel,New Zealand,"Edgar Centre, Dunedin"
2010,11,3,Monday 31 May 19:20 (UTC+12),,Waikato Bay of Plenty Magic,New Zealand,54-55,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Energy Events Centre, Rotorua"
2010,11,3,Monday 31 May 17:05 (UTC+8),,West Coast Fever,Australia,63-45,Central Pulse,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2010,12,3,Saturday 5 June 14:20 (UTC+12),,Northern Mystics,New Zealand,62-53,West Coast Fever,Australia,Northern Mystics,New Zealand,"North Shore Events Centre, Auckland"
2010,12,3,Saturday 5 June 14:20 (UTC+10),,Queensland Firebirds,Australia,52-42,Central Pulse,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2010,12,3,Sunday 6 June 14:50 (UTC+10),,Melbourne Vixens,Australia,43-54,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Hisense Arena, Melbourne"
2010,12,3,Monday 7 June 19:20 (UTC+12),,Southern Steel,New Zealand,53-39,Canterbury Tactix,New Zealand,Southern Steel,New Zealand,"Stadium Southland, Invercargill"
2010,12,3,Monday 7 June 19:05 (UTC+10),,New South Wales Swifts,Australia,60-43,Waikato Bay of Plenty Magic,New Zealand,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2010,13,3,Saturday 12 June 14:20 (UTC+12),,Central Pulse,New Zealand,52-58,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Pettigrew Green Arena, Napier"
2010,13,3,Saturday 12 June 14:20 (UTC+10),,Melbourne Vixens,Australia,46-58,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Hisense Arena, Melbourne"
2010,13,3,Sunday 13 June 14:20 (UTC+9:30),,Adelaide Thunderbirds,Australia,54-45,West Coast Fever,Australia,Adelaide Thunderbirds,Australia,"Adelaide Arena, Adelaide"
2010,13,3,Monday 14 June 19:20 (UTC+12),,Northern Mystics,New Zealand,43-50,Southern Steel,New Zealand,Southern Steel,New Zealand,"Trusts Stadium, Auckland"
2010,13,3,Monday 14 June 19:05 (UTC+10),,Queensland Firebirds,Australia,75-32,Canterbury Tactix,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2010,14,3,Saturday 19 June 14:20 (UTC+12),,Waikato Bay of Plenty Magic,New Zealand,53-44,Adelaide Thunderbirds,Australia,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2010,14,3,Sunday 20 June 12:50 (UTC+8),,West Coast Fever,Australia,67-59,Queensland Firebirds,Australia,West Coast Fever,Australia,"Challenge Stadium, Perth"
2010,14,3,Sunday 20 June 18:50 (UTC+12),,Canterbury Tactix,New Zealand,47-58,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Westpac Arena, Christchurch"
2010,14,3,Monday 21 June 19:20 (UTC+12),,Central Pulse,New Zealand,48-49,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Te Rauparaha Arena, Porirua"
2010,14,3,Monday 21 June 19:05 (UTC+10),,New South Wales Swifts,Australia,55-38,Southern Steel,New Zealand,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2010,15,4,Sunday 27 June 14:50 (UTC+10),,New South Wales Swifts,Australia,38-52,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Acer Arena, Sydney"
2010,15,4,Monday 28 June 19:20 (UTC+12),,Waikato Bay of Plenty Magic,New Zealand,50-42,Southern Steel,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Vector Arena, Auckland "
2010,16,4,Sunday 4 July 14:50 (UTC+10),,New South Wales Swifts,Australia,49-54,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,Newcastle Entertainment Centre
2010,17,4,Sunday 11 July 14:30 (UTC+9:30),,Adelaide Thunderbirds,Australia,52-42,Waikato Bay of Plenty Magic,New Zealand,Adelaide Thunderbirds,Australia,Adelaide Entertainment Centre
2011,1,1,Sunday 13 February,,New South Wales Swifts,Australia,60-40,Adelaide Thunderbirds,Australia,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2011,1,1,Monday 14 February,,Northern Mystics,New Zealand,51-34,Southern Steel,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2011,2,1,Saturday 19 February,,Central Pulse,New Zealand,44-54,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Te Rauparaha Arena, Porirua"
2011,2,1,Sunday 20 February,,Adelaide Thunderbirds,Australia,47-65,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"ETSA Park, Adelaide"
2011,2,1,Sunday 20 February,,Waikato Bay of Plenty Magic,New Zealand,51-36,Southern Steel,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2011,2,1,Monday 21 February,,Canterbury Tactix,New Zealand,48-54,West Coast Fever,Australia,West Coast Fever,Australia,"CBS Canterbury Arena, Christchurch"
2011,2,1,Monday 21 February,,Queensland Firebirds,Australia,51-48,New South Wales Swifts,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2011,3,1,Thursday 24 February,,Northern Mystics,New Zealand,39-45,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Trusts Stadium, Auckland"
2011,3,1,Thursday 24 February,,West Coast Fever,Australia,53-72,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Challenge Stadium, Perth"
2011,3,1,Saturday 26 February,,Central Pulse,New Zealand,43-45,Southern Steel,New Zealand,Southern Steel,New Zealand,"Te Rauparaha Arena, Porirua"
2011,3,1,Saturday 26 February,,Queensland Firebirds,Australia,64-41,Adelaide Thunderbirds,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2011,3,1,Sunday 27 February,,New South Wales Swifts,Australia,45-49,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"State Sports Centre, Sydney"
2011,3,1,Thursday 7 April,,Canterbury Tactix,New Zealand,45-58,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Vector Arena, Auckland"
2011,3,1,Monday 28 February,,Central Pulse,New Zealand,44-46,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"TSB Bank Arena, Wellington"
2011,3,1,Monday 28 February,,West Coast Fever,Australia,38-62,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Challenge Stadium, Perth"
2011,4,1,Saturday 5 March,,Adelaide Thunderbirds,Australia,51-41,Central Pulse,New Zealand,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2011,4,1,Sunday 6 March,,Queensland Firebirds,Australia,51-36,Southern Steel,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2011,4,1,Sunday 6 March,,Northern Mystics,New Zealand,56-54,Melbourne Vixens,Australia,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2011,4,1,Monday 7 March,,Canterbury Tactix,New Zealand,56-63,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua*"
2011,4,1,Monday 7 March,,New South Wales Swifts,Australia,55-51,West Coast Fever,Australia,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2011,5,2,Sunday 13 March,,Adelaide Thunderbirds,Australia,42-64,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"ETSA Park, Adelaide"
2011,5,2,Sunday 13 March,,Waikato Bay of Plenty Magic,New Zealand,46-47,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Mystery Creek Events Centre, Hamilton"
2011,5,2,Monday 14 March,,Southern Steel,New Zealand,50-44,Central Pulse,New Zealand,Southern Steel,New Zealand,Invercargill ILT Velodrome
2011,5,2,Monday 14 March,,New South Wales Swifts,Australia,54-45,Canterbury Tactix,New Zealand,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
